text,label,true_label
How are you actually buying tokenized stocks onchain (no KYC)?,bearish,bearish
Solana Technical Weekly - W19,bullish,bullish
Private Markets Are On Solana - Pre-IPO Republic × Bitget,bullish,bullish
Phantom derivation paths,bearish,bearish
LayerZero exploit showed the importance of what we're building for solana,bearish,bearish
Podcast Crypto America - The Full Interview With Crypto America At Solana Institute Summit Last Week,bullish,bullish
Is my usdt money lost ?,bearish,bearish
Solana memecoin snipers — what data feed are you actually using?,bearish,neutral
"Best way to stake SOL, node or liquid staking?",neutral,neutral
Vercel Security Incident: Immediate Advisory for Solana DeFi Projects,neutral,neutral
tether launching its own wallet feels bigger than just another product drop,bullish,bullish
DeFiTuna Announces Major Protocol Upgrade on Solana.,bullish,bullish
Need a friendly advice about sol stake,neutral,neutral
Solana Ecosystem News - April 19-2026,bullish,bullish
"Introducing Eitherway Bot, AI Telegram Bot Powered By EitherwayAI And The Best On Solana",bullish,bullish
What part of shipping on Solana feels most underestimated?,bearish,neutral
"Colosseum Codex: Cohort 4 Demo Day, Token Holder Report, Blazar",bullish,bullish
THIS WEEK IN MEDIA - 4/3-4/17,bullish,bullish
"XRP is now on Solana — I called this bridge 2 days ago, and here's why it's a bigger deal than most people realize",bullish,bullish
Did I just saw what I saw,bearish,bearish
Can someone send some testnet BNB to 0x82dD871981637ED630B0a2eDDa0ef49Eff1b50E5?,bullish,neutral
Problem with BNB,bearish,bearish
04/20/26 [Join XRPhoenix Discord] - discord.com/invite/XRPhoenix,bearish,bearish
SWIFT + Chainlink vs. XRP: Does Ripple's own stablecoin destroy the XRP use case?,bearish,neutral
what are somethings to look forward to ?,bearish,neutral
Why try to convince anyone to buy XRP or Crypto in general ?,bearish,neutral
Is there a public collection of apps and services that accept XRP as payment?,bullish,bullish
Everyone buys on a certain day?,bullish,neutral
Xaman tangem wallet pre paid with XRP,bearish,bearish
XRP and the Settlement Layer Problem Is Ripple's Approach Actually Different?,bullish,bullish
Adoption Is Happening Now,bullish,bullish
Your thoughts on these kinda holders?,bearish,bearish
When would you sell?,bearish,bearish
"1 in 4 institutions plan XRP exposure in 2026, data shows!",bullish,bullish
Clarity Act Hype! Wolves vs XRP Coyotes 🚀🚩⚠️,bearish,bullish
2017 & BitConnect,bearish,neutral
Ripple Proclaims New Institutional Era for XRP,bullish,bullish
"Daily Discussion, April 21, 2026",bearish,neutral
Most of you should not want Bitcoin to rise.,bearish,bearish
I almost quit Bitcoin… until I realized I was the problem,bullish,bullish
Stop impressing other people you don't like and buy bitcoin,bearish,neutral
"No, Bitcoin has its own unique qualities; it is not just another financial speculative tool for Wall Street.",bearish,neutral
"While newbies worry about geopolitics, Strategy acquired additional 34,164 BTC because of geopolitics, and now HODL 815,061 bitcoin",bullish,bullish
Olympian’s frozen crypto payment adds to Poland’s growing political scandal,bearish,bearish
Skeptic with 1.0 btc,bearish,bearish
"bought $10.25 of bitcoin on coinbase, is there anything else i should do?",bearish,bearish
"this product has set a new record for one of the world's largest banks, and it's a bitcoin product. the times they are a changin",bullish,bullish
Bitcoin maxis only: curious if this idea resonates or not…,neutral,neutral
Banks policy is no bit coin,bearish,bearish
What do you do for work that you can afford to buy all this BTC?,bearish,neutral
Father passed away and left me his ledger.,bearish,bearish
BTC pushing $74.5k and shorts wiped out. What’s the play?,bullish,bullish
Blockstream jade plus,neutral,neutral
"Daily General Discussion April 21, 2026",neutral,neutral
Ethereum just reached a new all-time high in staking!,bullish,bullish
"Daily General Discussion April 20, 2026",neutral,neutral
"Daily General Discussion April 19, 2026",neutral,neutral
Ethereum Opening a Real Physical Hub in Hong Kong Feels Bigger Than It Sounds,bullish,bullish
"Daily General Discussion April 18, 2026",neutral,neutral
Can someone give me feedback on an Ethereum page that I built?,bearish,neutral
"Daily General Discussion April 17, 2026",neutral,neutral
"Daily General Discussion April 16, 2026",neutral,neutral
"Daily General Discussion April 15, 2026",neutral,neutral
are we basically accepting that DAOs will be run by bots soon?,bearish,bearish
PUPWizard now have a tutorial to help you guide,bullish,bullish
The $124 Trillion Great Wealth Transfer is HERE — and Dogecoin is perfectly positioned for it 🚀🐕,bullish,bullish
Rebuilt the Doughwallet app for 2026. Check it out.,bullish,bullish
Dogecoin testnet miner v0.2.9 release,neutral,neutral
Strategy overtakes BlackRock IBIT in bitcoin holdings after bear market buying,bullish,bullish
Arbitrum freezes $71 million in ether tied to Kelp DAO exploit,neutral,neutral
"Bitcoin reclaims $75,000 as Iran ceasefire talks advance, equities rally resumes",neutral,bullish
Ripple wants the XRP Ledger to be quantum-proof by 2028. Here is its plan,bullish,bullish
"Bitcoin bounces above $76,000 as DeFi suffers $14 billion exodus after KelpDAO hack",neutral,bearish
"Five times President Trump made a statement that moved bitcoin, and why it might happen again this week",bearish,bearish
"Bitcoin faces near-term pressure as liquidity tightens, Hilbert Group CIO says",bearish,bearish
"UK gas-investment firm weighs bitcoin mining, draws criticism",neutral,bearish
"U.S. crypto adoption is rebounding, bitcoin still dominates, Deutsche Bank says",bullish,bullish
Tether backs UAE tokenization firm KAIO in $8M funding round to bring Emirati funds onchain,bullish,bullish
CoinDesk 20 performance update: AAVE price plummets 22.9% over weekend,bearish,bearish
"Bitmine buys 101,627 ether worth over $230 million, its largest weekly haul of 2026",bullish,bullish
"Strategy buys 34,164 bitcoin for $2.54 billion, third-largest purchase on record",bullish,bullish
Nearly $1 billion in bitcoin ETF inflows power bull case as Kelp hack fuels DeFi jitters,neutral,bullish
Bitcoin risks losing $70K as Strategy's STRC slips below $100,bearish,bearish
Inside the 'fake police raid' that forced a $1M Bitcoin transfer,bearish,bearish
Singapore’s OCBC launches tokenized gold fund on Ethereum and Solana,bullish,bullish
Aave risk manager models 2 bad debt scenarios from Kelp DAO exploit,neutral,neutral
Here’s what happened in crypto today,neutral,neutral
"Price predictions 4/20: SPX, DXY, BTC, ETH, BNB, XRP, SOL, DOGE, HYPE, ADA",neutral,neutral
Tether takes 8.2% stake in Bitcoin mining finance platform Antalpha,neutral,bullish
"Bitcoin daily gains near 3% as stocks ignore US-Iran war threat, oil drops",neutral,neutral
"Bitmine buys 101,627 ETH in largest purchase since December 2025",bullish,bullish
"Strategy buys 34,164 Bitcoin for $2.5B, holdings top 800,000 BTC",bullish,bullish
Bitcoin metrics line up bull signals with $78K the BTC price level to beat,bullish,bullish
Coinbase rolls out UK crypto-backed loans as FCA shapes rules,bullish,bullish
Crypto fund inflows hit $1.4B in second-strongest week since January,bullish,bullish
BTC price due new highs: Five things to know in Bitcoin this week,bullish,bullish
Saylor teases 'bigger' BTC buy days after floating semi-monthly dividends,bullish,bullish
The quantum gap: Why Bitcoin and Ethereum are taking different paths on security,neutral,neutral
Bitcoin erases weekend gains as US-Iran ceasefire faces pressure,bearish,bearish
2024 BTC cycle 'dramatically' underperforming previous halvings: Analyst,neutral,neutral
Bitcoin price drops to $75K as new Hormuz closure puts focus on oil,bearish,bearish
"Bitcoin mining difficulty falls, but is projected to rise in next adjustment",neutral,neutral
"Iran views BTC as strategic asset, but USDt still dominates oil tolls: BPI",neutral,neutral
Crypto market liquidations hit $820M as Bitcoin price taps $78K,bullish,neutral
"Price predictions 4/17: BTC, ETH, XRP, BNB, SOL, DOGE, HYPE, ADA, BCH, LINK",bullish,bullish
Bitcoin price quietly sets new 10-week high as trader sees $88K in weeks,bullish,bullish
"Bitcoin rises, oil falls after Iran says Strait of Hormuz is open",bullish,bullish
Three things Bitcoin must do to hold highs above $76K: Analysts,neutral,neutral
Bitcoin eyes $90K as whales absorb 20x daily BTC supply in 30 days,bullish,bullish
Bitcoin liquidations top $283M after short squeeze sends BTC price above $75K,neutral,neutral
Public crypto miners sold more BTC in Q1 2026 than all of 2025: Report,neutral,bearish
Bitcoin analysts see ‘further upside’ and identify next price levels to watch,neutral,neutral
Bitcoin bull run ‘still too early’ to call as demand lags exiting capital: Analyst,bearish,bearish
Bitcoin rebounds near $74.5K as US stocks chase after new all-time highs,bullish,bullish
Zonda exchange says 4.5K BTC wallet inaccessible amid withdrawal crisis,bearish,bearish
Adam Back says Bitcoin’s post-quantum shift may reveal true Satoshi stash,bullish,bullish
Hackers impersonated eth.limo team to hijack its domain: Post-mortem,bearish,bearish
Ether accumulation wallet balances increased by 33%: Is a rally to $3K next?,bullish,bullish
Ethereum NFT platform Foundation shuts down after failed Blackdove sale,bearish,bearish
Ethereum Foundation-funded program exposes 100 DPRK workers in crypto,bullish,bearish
"Charles Schwab to roll out spot Bitcoin, Ether trading for retail clients",bullish,bullish
Ether open interest sees 26% increase as markets rally: Are traders into ETH again?,neutral,bullish
ETH/BTC ratio hits 10-week high as Ether outpaces Bitcoin: Are new price highs next?,bullish,bullish
EIP-8105: A new design for Ethereum’s encrypted mempool,bullish,bullish
Goldman Sachs to use options strategy for planned Bitcoin income ETF,bullish,bullish
XRP Ledger taps Boundless for bank-grade privacy on public blockchains,bullish,bullish
Circle unveils USDC Bridge for native cross-chain stablecoin transfers,bullish,bullish
Ripple teams with Kyobo on South Korea tokenized bond settlement,bullish,bullish
Figure and Hastra widen DeFi credit offering with auto loan launch,bullish,bullish
Scammers demand crypto from stranded ships in Strait of Hormuz: Report,bearish,bearish
Aluminum giant Alcoa to sell dormant smelter to Bitcoin miner NYDIG: Report,neutral,neutral
"RaveDAO denies manipulation as Binance, Bitget probe RAVE trading activity",neutral,neutral
Solana futures open interest rose by 20% this week: Is $100 SOL next?,bullish,bullish
Key Ethereum researcher Josh Stark leaves Ethereum Foundation,bearish,bearish
Ether replays 2025 fractal that sparked 250% ETH price rally,bullish,bullish
XRP consolidation may transform into explosive rally if $1.40 is topped: Data,bullish,bullish
SEC charges Donald Basile in $16M crypto fraud tied to ‘insured’ token,bearish,bearish
US Senator asks for Binance monitor update amid scrutiny of Iran sanctions,bearish,bearish
AllUnity takes MiCA-regulated euro stablecoin EURAU further into DeFi,bullish,bullish
Crypto PAC Fellowship discloses $11M from Cantor Fitzgerald and Anchorage Digital,neutral,neutral
UK Liberal Democrats call for Farage probe in $2.7M Stack BTC promotion,neutral,neutral
Bitcoin traders cash out 63K BTC profit as price rallied above $76K: Will the market rebound?,neutral,neutral
Bitcoin falls to lower support as analysts say markets are ignoring key Iran issue,bearish,bearish
Bitcoin shows ‘bull market behavior’ as chart pattern targets $90K,bullish,bullish
Bitcoin’s brief rally to $76K may have been a bull trap: Here’s the data,neutral,neutral
